id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
library_engineering,Library Study Space,,,Engineering Library,"Cornell Library, quiet study, late-night",Library,"Official Cornell library hours: 24-hour card access. Quiet study space in Carpenter Hall with consistent late-night access.",Carpenter Hall - Cornell Campus,,24 Hours,https://spaces.library.cornell.edu/hours/
library_olin,Library Study Space,,,Olin Library,"Cornell Library, quiet study, late-night",Library,"Official Cornell library hours: typically open until midnight on weekdays. Strong quiet study coverage for central campus.",John M. Olin Library - Cornell Campus,8:00 AM,12:00 AM,https://spaces.library.cornell.edu/hours/
library_uris,Library Study Space,,,Uris Library,"Cornell Library, quiet study, late-night",Library,"Official Cornell library hours: typically open until 11pm on weekdays. Good humanities and social sciences study space.",Harold D. Uris Library - Cornell Campus,8:00 AM,11:00 PM,https://spaces.library.cornell.edu/hours/
library_mann,Library Study Space,,,Mann Library,"Cornell Library, quiet study, study-friendly",Library,"Official Cornell library hours: typically open until 10pm on weekdays. Popular study space for agriculture and life sciences.",Albert R. Mann Library - Cornell Campus,8:00 AM,10:00 PM,https://spaces.library.cornell.edu/hours/
library_fine_arts,Library Study Space,,,Fine Arts Library,"Cornell Library, quiet study, study-friendly",Library,"Official Cornell library hours: typically open until 10pm on weekdays. Quiet fine arts study space.",Mui Ho Fine Arts Library - Cornell Campus,9:00 AM,10:00 PM,https://spaces.library.cornell.edu/hours/
library_music,Library Study Space,,,Music Library,"Cornell Library, quiet study, study-friendly",Library,"Official Cornell library hours: typically open until 10pm on weekdays. Music and dance study space.",Sidney Cox Library of Music and Dance - Cornell Campus,9:00 AM,10:00 PM,https://spaces.library.cornell.edu/hours/
library_hotel,Library Study Space,,,Hotel Library,"Cornell Library, quiet study, late-night",Library,"Official Cornell library hours: typically open until 11:30pm on weekdays. Late-night study option in the hotel school.",Hotel Library - Cornell Campus,8:00 AM,11:30 PM,https://spaces.library.cornell.edu/hours/
library_math,Library Study Space,,,Mathematics Library,"Cornell Library, quiet study, study-friendly",Library,"Official Cornell library hours: typically open until 8pm on weekdays. Quiet study for math-heavy work.",Mathematics Library - Cornell Campus,9:00 AM,8:00 PM,https://spaces.library.cornell.edu/hours/
library_law,Library Study Space,,,Law Library,"Cornell Library, quiet study, study-friendly",Library,"Official Cornell library hours: typically open until 8pm on weekdays, with 24-hour card access for the law community.",Myron Taylor Hall - Cornell Campus,8:00 AM,8:00 PM,https://spaces.library.cornell.edu/hours/
library_management,Library Study Space,,,Management Library,"Cornell Library, quiet study, study-friendly",Library,"Official Cornell library hours: public access generally available into the evening on weekdays, with extended card access.",Sage Hall - Cornell Campus,7:00 AM,8:00 PM,https://spaces.library.cornell.edu/hours/
