id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
dining_2095822851,Dining Location,-76.4822066,42.4532608,Risley Dining,Cornell Dining,Restaurant,"Risley Dining is a cozy North Campus dining hall inside Risley Hall, the arts-themed living-learning community. It serves American comfort food in a relaxed, intimate setting.",Cornell Campus Area,,,
dining_2108337074,Dining Location,-76.4759957,42.4535179,North Star Dining,Cornell Dining,Restaurant,North Star Dining is a large all-you-care-to-eat dining hall on North Campus at Robert Purcell Community Center. It serves a rotating mix of global and American dishes and is a central gathering spot for North Campus students.,Cornell Campus Area,,,
dining_2108342502,Dining Location,-76.4777169,42.4559956,Robert Purcell Marketplace Eatery,Cornell Dining,Restaurant,"Robert Purcell Marketplace Eatery (RPCC) is a sprawling North Campus dining hall offering a wide variety of cuisines, live-action cooking stations, and all-you-care-to-eat options. One of the largest and busiest dining halls on Cornell's campus.",Cornell Campus Area,,,
dining_2108342530,Dining Location,-76.4793192,42.45318,Carol's Cafe,Cornell Dining,Cafe,"Carol's Café is a cozy campus coffee shop serving espresso drinks, tea, pastries, and light snacks. A quiet spot to grab a coffee and study between classes.",Cornell Campus Area,,,
dining_4221840489,Dining Location,-76.4753234,42.4410938,Coal Yard Cafe,Cornell Dining,Cafe,"Coal Yard Café is a casual campus café offering a broad menu including sandwiches, bagels, American breakfast plates, crepes, and coffee. Open weekdays 8 AM–3 PM and weekends 9 AM–3 PM.",Cornell Campus Area,,,https://www.thecoalyardcafe.com
dining_4482618704,Dining Location,-76.4824213,42.4447323,Mattin's Cafe,Cornell Dining,Cafe,"Mattin's Café is a quick-service breakfast and sandwich spot on campus, popular for morning meals, made-to-order sandwiches, and grab-and-go lunches.",Cornell Campus Area,,,
dining_5840567906,Dining Location,-76.4897043,42.4420095,Carriage House Cafe,Cornell Dining,Restaurant,Carriage House Café is a campus dining spot offering a rotating mix of meals in a charming historic setting. Ideal for a sit-down lunch or a quick bite.,Cornell Campus Area,,,
dining_6398578945,Dining Location,-76.4657543,42.4477148,Vet School Cafe,Cornell Dining,Cafe,"Vet School Café is a coffee shop located in Cornell's College of Veterinary Medicine, serving espresso, drip coffee, and light snacks. A quiet retreat on the Vet quad.",Cornell Campus Area,,,https://cornellvetdining.com/
dining_8796639067,Dining Location,-76.4992218,42.4398927,Alley Cat Cafe,Cornell Dining,Cafe,"Alley Cat Café is a beloved campus spot with a relaxed atmosphere, serving food and drinks Tuesday through Sunday. Open Tue–Sat 9 AM–6 PM and Sun 10 AM–5 PM.",Cornell Campus Area,,,https://www.alleycatithaca.com/
dining_9167217824,Dining Location,-76.4985973,42.4408044,Cafe Dewitt,Cornell Dining,Restaurant,"Café DeWitt is a Cornell coffee shop serving espresso, lattes, and light bites, nestled in DeWitt Mall in downtown Ithaca. A popular local study spot.",Cornell Campus Area,,,
dining_9167280113,Dining Location,-76.4948412,42.4396717,The Greenhouse Cafe & Cocktail Lounge,Cornell Dining,Cafe,The Greenhouse Café & Cocktail Lounge is a unique Cornell dining venue that transforms from a café into a cocktail bar in the late afternoon. Open Mon–Thu 3–11 PM and Fri–Sat 3 PM–midnight. A social spot for evening drinks.,Cornell Campus Area,,,https://www.thegreenhouseithaca.com/
dining_9167323000,Dining Location,-76.4955517,42.4406327,Ooy's Cafe and Deli,Cornell Dining,Restaurant,"Ooy's Café and Deli is a campus café and deli serving sandwiches, hot food, and a mix of daily specials. A convenient grab-and-go lunch option.",Cornell Campus Area,,,
dining_9176400983,Dining Location,-76.5000586,42.4387272,Press Bay Cafe,Cornell Dining,Cafe,"Press Bay Café is a bright and inviting café in Ithaca serving coffee, pastries, and light meals. Open Mon–Fri 8 AM–3 PM and Sat–Sun 9 AM–4 PM.",Cornell Campus Area,,,
dining_12011180477,Dining Location,-76.4948361,42.4401969,The Strand Cafe,Cornell Dining,Cafe,"The Strand Café is one of Cornell's most accessible dining spots, open nearly around the clock (6 AM–1 AM). It serves a wide variety of meals, snacks, and beverages, making it a go-to for late-night food runs.",Cornell Campus Area,,,https://thestrandithaca.com/
dining_13298062632,Dining Location,-76.4820262,42.4463543,Mac's Cafe,Cornell Dining,Cafe,"Mac's Café is a campus dining spot serving American comfort food, hot meals, and daily specials in a casual, welcoming environment.",Cornell Campus Area,,,https://statlerhotel.cornell.edu/food-drink/macs-cafe
dining_13298062633,Dining Location,-76.4833592,42.4459525,Atrium Cafe,Cornell Dining,Cafe,"Atrium Café is a campus café located in a bright, open atrium space, offering a mix of hot food, coffee, and snacks throughout the day.",Cornell Campus Area,,,https://scl.cornell.edu/atrium-cafe
dining_1151622577,Dining Location,-76.4793243,42.4555602,Morrison Dining,Cornell Dining,Fast_food,"Morrison Dining is the dining hall at Toni Morrison Hall on North Campus, serving a rotating menu of international and American dishes in an all-you-care-to-eat format for North Campus residents.",Cornell Campus Area,,,
