id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
gym_1792236,Gym / Fitness Center,-76.47730907608567,42.453188923853595,Helen Newman,Cornell Rec,Athletics Facility,"Helen Newman Hall is a full-service Cornell recreation center on North Campus. It includes a fitness room with cardio and strength equipment, a swimming pool, bowling lanes, and indoor courts for basketball, volleyball, and badminton.
Facilities: HNH Fitness Center, HNH Pool, HNH Bowling, HNH Court 1, HNH Court 2 | Activities: Bowling, Basketball, Volleyball, Badminton, Swimming | Amenities: Showers, Lockers, Parking, Elevators",163 Cradit Farm Road,,,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701090,Group Fitness Class,-76.47730907608567,42.453188923853595,ZUMBA®,Cornell Rec class,Group Fitness,"Instructor: Livia. ZUMBA® combines Latin rhythms and international dance moves to create an upbeat, calorie blasting experience! With a fusion of Latin, Belly dance, Reggaeton, Hip-Hop, and other forms of dance, routines feature aerobic interval training with a combination of fast and slow rhythms that tone and sculpt the body. Spend 45 minutes dancing your worries away! ",Helen Newman Hall Dance Studio,2026-03-18T18:00:00,2026-03-18T18:45:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701105,Group Fitness Class,-76.47730907608567,42.453188923853595,Pilates - Mat Express,Cornell Rec class,Group Fitness,"Instructor: Sophia. Pilates is a conditioning program designed to increase body awareness, improve alignment and breathing. You will build endurance, flexibility, coordination, and strength through a highly focused flow of movements.",Helen Newman Hall Dance Studio,2026-03-21T10:15:00,2026-03-21T11:00:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701108,Group Fitness Class,-76.47730907608567,42.453188923853595,H.I.I.T. & Core,Cornell Rec class,Group Fitness,"Instructor: Emily E.. H.I.I.T. & Core is a total-body interval training workout that incorporates cardio/plyometrics, strength, and core work, using a variety of equipment such as light dumbbells, bands, or just body weight and a mat. The class is typically structured around timed intervals, helping you push through each round with focus and intensity. Bring a sweat towel, water bottle, and let’s smash this high-intensity session! ",Helen Newman Hall Dance Studio,2026-03-21T12:15:00,2026-03-21T13:00:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701111,Group Fitness Class,-76.47730907608567,42.453188923853595,Barre Express,Cornell Rec class,Group Fitness,"Instructor: Olivia. This high-energy, low-impact class moves through a fast-paced series of exercises using small, controlled movements, isometric holds, and high repetitions—often with light equipment. You'll target muscles you didn’t even know you had, while strengthening your core, glutes, legs, and arms, and improving balance and posture. ",Helen Newman Hall Dance Studio,2026-03-22T11:00:00,2026-03-22T11:45:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701123,Group Fitness Class,-76.47730907608567,42.453188923853595,Cycling Express,Cornell Rec class,Group Fitness,"Instructor: Lynn. Short on time or just getting started with exercise? Cycling Express is the perfect way to fit in an efficient, effective cardio workout. This 45-minute indoor cycling class blends energizing music with basic cycling movements, motivational coaching and breath awareness.This low-impact, high-energy ride lets you set the pace to match your goals. Whether you're building stamina or simply boosting your mood, this class will move you. ",Helen Newman Hall Dance Studio,2026-03-23T17:30:00,2026-03-23T18:15:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701125,Group Fitness Class,-76.47730907608567,42.453188923853595,ZUMBA®,Cornell Rec class,Group Fitness,"Instructor: Kate P.. ZUMBA® combines Latin rhythms and international dance moves to create an upbeat, calorie blasting experience! With a fusion of Latin, Belly dance, Reggaeton, Hip-Hop, and other forms of dance, routines feature aerobic interval training with a combination of fast and slow rhythms that tone and sculpt the body. Spend 45 minutes dancing your worries away! ",Helen Newman Hall Dance Studio,2026-03-23T18:30:00,2026-03-23T19:15:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701133,Group Fitness Class,-76.47730907608567,42.453188923853595,Free Yoga - Slow Flow Vinyasa,Cornell Rec class,Group Fitness,"Instructor: Marley. No membership required.  Offered in collaboration with Cornell Minds Matter.Come slow down and get into the flow in this Slow Flow Vinyasa Yoga class!  A slower approach provides space to focus on alignment, to find variations to meet individual needs, and to stay in the postures for a bit, with an emphasis on cultivating mindfulness, strength, and flexibility.The flowing Vinyasa transitions between postures helps to create a fluid & dynamic experience based on the breath, helping folks to leave class feeling grounded, calm, and energized!",Helen Newman Hall Classroom,2026-03-24T18:15:00,2026-03-24T19:15:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701141,Group Fitness Class,-76.47730907608567,42.453188923853595,Pilates - Mat Express,Cornell Rec class,Group Fitness,"Instructor: Jana. Pilates is a conditioning program designed to increase body awareness, improve alignment and breathing. You will build endurance, flexibility, coordination, and strength through a highly focused flow of movements.",Helen Newman Hall Dance Studio,2026-03-25T17:00:00,2026-03-25T17:45:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
class_701153,Group Fitness Class,-76.47730907608567,42.453188923853595,Pilates - Mat ,Cornell Rec class,Group Fitness,Instructor: Sophia. ,Helen Newman Hall Dance Studio,2026-03-26T18:45:00,2026-03-26T19:45:00,https://appdev-upload.nyc3.cdn.digitaloceanspaces.com/uplift/helen-newman.jpg
